name,layer,wc_r,wc_g,wc_b,num_splines,total_verts,bbmin_x,bbmin_y,bbmax_x,bbmax_y,width,height,center_x,center_y,area_approx
Layer:Site Plan$0$-u-site-amenities,Site Plan$0$-u-site-amenities,0,255,255,59,138,1.10427e+07,8.48786e+06,1.10429e+07,8.48808e+06,198.0,214.0,1.10428e+07,8.48797e+06,42372.0
Layer:Site Plan$0$SP-SIDEWALK,Site Plan$0$SP-SIDEWALK,255,255,0,1733,3641,1.10412e+07,8.48443e+06,1.1053e+07,8.49121e+06,11788.0,6777.0,1.10471e+07,8.48782e+06,7.98873e+07
Layer:Site Plan$0$-u-site-amenities,Site Plan$0$-u-site-amenities,0,255,255,59,138,1.10513e+07,8.48811e+06,1.10515e+07,8.48832e+06,218.0,216.0,1.10514e+07,8.48821e+06,47088.0
Layer:Site Plan$0$SP-PAVEMENT MARKINGS,Site Plan$0$SP-PAVEMENT MARKINGS,152,152,152,86,209,1.10413e+07,8.48483e+06,1.10519e+07,8.49114e+06,10534.0,6302.0,1.10466e+07,8.48798e+06,6.63853e+07
Layer:Site Plan$0$SP-SIGNS,Site Plan$0$SP-SIGNS,0,255,255,2,6,1.1051e+07,8.4879e+06,1.10511e+07,8.48791e+06,42.0,12.0,1.1051e+07,8.4879e+06,504.0
Layer:Site Plan$0$SP-BOLLARDS,Site Plan$0$SP-BOLLARDS,0,255,255,2,8,1.1051e+07,8.4879e+06,1.10511e+07,8.4879e+06,38.0,6.0,1.1051e+07,8.4879e+06,228.0
Layer:Site Plan$0$SP-CALL BOX,Site Plan$0$SP-CALL BOX,0,255,255,1,4,1.1047e+07,8.49055e+06,1.1047e+07,8.49059e+06,36.0,37.0,1.1047e+07,8.49057e+06,1332.0
Layer:Site Plan$0$SP-RESIDENT PARKING,Site Plan$0$SP-RESIDENT PARKING,0,41,165,63,252,1.10421e+07,8.48522e+06,1.10521e+07,8.49118e+06,10012.0,5965.0,1.10471e+07,8.4882e+06,5.97216e+07
Layer:Site Plan$0$-u-site-amenities,Site Plan$0$-u-site-amenities,0,255,255,5,20,1.10455e+07,8.48599e+06,1.10474e+07,8.48791e+06,1884.0,1920.0,1.10465e+07,8.48695e+06,3.61728e+06
Layer:Site Plan$0$SP-PARKING-STRIPE,Site Plan$0$SP-PARKING-STRIPE,152,152,152,216,1248,1.10426e+07,8.48499e+06,1.10516e+07,8.48982e+06,8986.0,4827.0,1.10471e+07,8.4874e+06,4.33754e+07
Layer:Site Plan$0$-u-site-propline,Site Plan$0$-u-site-propline,165,0,0,3,24,1.10412e+07,8.48462e+06,1.1053e+07,8.49122e+06,11802.0,6600.0,1.10471e+07,8.48792e+06,7.78932e+07
Layer:Site Plan$0$-u-site-bldg_interior,Site Plan$0$-u-site-bldg_interior,152,152,152,15003,31848,1.10414e+07,8.48518e+06,1.10529e+07,8.49106e+06,11485.0,5877.0,1.10471e+07,8.48812e+06,6.74973e+07
Layer:Site Plan$0$SP-BLDG-ROOF ABOVE,Site Plan$0$SP-BLDG-ROOF ABOVE,0,255,255,669,1547,1.10414e+07,8.48517e+06,1.10529e+07,8.49107e+06,11509.0,5904.0,1.10471e+07,8.48812e+06,6.79491e+07
Layer:Site Plan$0$A-DOOR,Site Plan$0$A-DOOR,186,186,186,2,6,1.10416e+07,8.49089e+06,1.10416e+07,8.49092e+06,32.0,32.0,1.10416e+07,8.49091e+06,1024.0
Layer:Site Plan$0$A-DOOR,Site Plan$0$A-DOOR,186,186,186,2,6,1.10416e+07,8.49062e+06,1.10416e+07,8.49065e+06,32.0,32.0,1.10416e+07,8.49063e+06,1024.0
Layer:Site Plan$0$A-DOOR,Site Plan$0$A-DOOR,186,186,186,2,6,1.10417e+07,8.48968e+06,1.10417e+07,8.48971e+06,32.0,32.0,1.10417e+07,8.4897e+06,1024.0
Layer:Site Plan$0$A-DOOR,Site Plan$0$A-DOOR,186,186,186,2,6,1.10416e+07,8.48943e+06,1.10417e+07,8.48946e+06,32.0,32.0,1.10416e+07,8.48944e+06,1024.0
Layer:Site Plan$0$A-DOOR,Site Plan$0$A-DOOR,186,186,186,2,6,1.10416e+07,8.48915e+06,1.10416e+07,8.48918e+06,32.0,32.0,1.10416e+07,8.48917e+06,1024.0
Layer:Site Plan$0$A-HVAC-EXT,Site Plan$0$A-HVAC-EXT,186,186,186,22,60,1.10421e+07,8.49086e+06,1.10422e+07,8.4909e+06,36.0,36.0,1.10422e+07,8.49088e+06,1296.0
Layer:Site Plan$0$A-DOOR-EXT_WINDOWS,Site Plan$0$A-DOOR-EXT_WINDOWS,186,186,186,2,6,1.10422e+07,8.49092e+06,1.10422e+07,8.49095e+06,32.0,32.0,1.10422e+07,8.49094e+06,1024.0
Layer:Site Plan$0$A-DOOR-EXT_WINDOWS,Site Plan$0$A-DOOR-EXT_WINDOWS,186,186,186,2,6,1.10422e+07,8.49053e+06,1.10422e+07,8.49056e+06,32.0,32.0,1.10422e+07,8.49055e+06,1024.0
Layer:Site Plan$0$SP-BUILDING-FOOTPRINT,Site Plan$0$SP-BUILDING-FOOTPRINT,255,255,255,45,2260,1.10414e+07,8.48518e+06,1.10529e+07,8.49106e+06,11497.0,5889.0,1.10471e+07,8.48812e+06,6.77058e+07
Layer:Site Plan$0$A-HVAC-EXT,Site Plan$0$A-HVAC-EXT,186,186,186,22,60,1.10422e+07,8.49045e+06,1.10422e+07,8.49049e+06,36.0,36.0,1.10422e+07,8.49047e+06,1296.0
Layer:Site Plan$0$A-HVAC-EXT,Site Plan$0$A-HVAC-EXT,186,186,186,22,60,1.10422e+07,8.49039e+06,1.10422e+07,8.49043e+06,36.0,36.0,1.10422e+07,8.49041e+06,1296.0
Layer:Site Plan$0$A-DOOR-EXT_WINDOWS,Site Plan$0$A-DOOR-EXT_WINDOWS,186,186,186,2,6,1.10422e+07,8.49031e+06,1.10422e+07,8.49034e+06,32.0,32.0,1.10422e+07,8.49033e+06,1024.0
Layer:Site Plan$0$A-HVAC-EXT,Site Plan$0$A-HVAC-EXT,186,186,186,22,60,1.10422e+07,8.48994e+06,1.10422e+07,8.48998e+06,36.0,36.0,1.10422e+07,8.48996e+06,1296.0
Layer:Site Plan$0$A-DOOR-EXT_WINDOWS,Site Plan$0$A-DOOR-EXT_WINDOWS,186,186,186,2,6,1.10422e+07,8.49e+06,1.10422e+07,8.49004e+06,32.0,32.0,1.10422e+07,8.49002e+06,1024.0
Layer:Site Plan$0$A-DOOR-EXT_WINDOWS,Site Plan$0$A-DOOR-EXT_WINDOWS,186,186,186,2,6,1.10422e+07,8.48974e+06,1.10422e+07,8.48977e+06,32.0,32.0,1.10422e+07,8.48975e+06,1024.0
Layer:Site Plan$0$A-HVAC-EXT,Site Plan$0$A-HVAC-EXT,186,186,186,22,60,1.10422e+07,8.48966e+06,1.10423e+07,8.4897e+06,36.0,36.0,1.10422e+07,8.48968e+06,1296.0
Layer:Site Plan$0$A-DOOR-EXT_WINDOWS,Site Plan$0$A-DOOR-EXT_WINDOWS,186,186,186,2,6,1.10422e+07,8.48952e+06,1.10422e+07,8.48956e+06,32.0,32.0,1.10422e+07,8.48954e+06,1024.0
Layer:Site Plan$0$A-HVAC-EXT,Site Plan$0$A-HVAC-EXT,186,186,186,22,60,1.10422e+07,8.4896e+06,1.10423e+07,8.48964e+06,36.0,36.0,1.10422e+07,8.48962e+06,1296.0
Layer:Site Plan$0$A-HVAC-EXT,Site Plan$0$A-HVAC-EXT,186,186,186,22,60,1.10422e+07,8.48919e+06,1.10422e+07,8.48923e+06,36.0,36.0,1.10422e+07,8.48921e+06,1296.0
Layer:Site Plan$0$A-DOOR-EXT_WINDOWS,Site Plan$0$A-DOOR-EXT_WINDOWS,186,186,186,2,6,1.10422e+07,8.48913e+06,1.10422e+07,8.48916e+06,32.0,32.0,1.10422e+07,8.48914e+06,1024.0
Layer:Site Plan$0$A-DOOR,Site Plan$0$A-DOOR,186,186,186,2,6,1.10416e+07,8.48995e+06,1.10416e+07,8.48998e+06,32.0,32.0,1.10416e+07,8.48996e+06,1024.0
Layer:Site Plan$0$A-DOOR,Site Plan$0$A-DOOR,186,186,186,2,6,1.10416e+07,8.49036e+06,1.10416e+07,8.4904e+06,32.0,32.0,1.10416e+07,8.49038e+06,1024.0
Layer:Site Plan$0$SP-LOT LINES,Site Plan$0$SP-LOT LINES,152,152,152,310,717,1.10412e+07,8.48499e+06,1.1053e+07,8.49121e+06,11789.0,6221.0,1.10471e+07,8.4881e+06,7.33394e+07
Layer:Site Plan$0$A-HVAC-EXT,Site Plan$0$A-HVAC-EXT,186,186,186,22,60,1.1042e+07,8.48876e+06,1.1042e+07,8.4888e+06,36.0,36.0,1.1042e+07,8.48878e+06,1296.0
Layer:Site Plan$0$A-DOOR-EXT_WINDOWS,Site Plan$0$A-DOOR-EXT_WINDOWS,186,186,186,2,6,1.1042e+07,8.48883e+06,1.10421e+07,8.48886e+06,32.0,32.0,1.1042e+07,8.48884e+06,1024.0
Layer:Site Plan$0$A-DOOR,Site Plan$0$A-DOOR,186,186,186,2,6,1.10414e+07,8.4888e+06,1.10415e+07,8.48883e+06,32.0,32.0,1.10414e+07,8.48881e+06,1024.0
