name,class,layer,wirecolor,x,y,z,isGroupHead
Layer:x-RL TH8-LP Block$0$LK-TREE-013M,SplineShape,x-RL TH8-LP Block$0$LK-TREE-013M,(color 186 186 186),1.10529e+07,8.48949e+06,-5.39411e-05,false
Layer:x-RL TH8-LP Block$0$LK-TREE-TRNK,SplineShape,x-RL TH8-LP Block$0$LK-TREE-TRNK,(color 186 186 186),1.10529e+07,8.48949e+06,-5.39411e-05,false
Block:x-RL TH8-LP Block$0$SHRUB-LRG-421,LinkComposite,x-RL TH8-LP Block$0$LP-SHRB,(color 186 186 186),1.10528e+07,8.49004e+06,-0.0103105,false
Layer:x-RL TH8-LP Block$0$LK-SHRB-035M,SplineShape,x-RL TH8-LP Block$0$LK-SHRB-035M,(color 186 186 186),1.10528e+07,8.49004e+06,-0.0103105,false
Layer:x-RL TH8-LP Block$0$LK-SHRB-TRNK,SplineShape,x-RL TH8-LP Block$0$LK-SHRB-TRNK,(color 186 186 186),1.10528e+07,8.49004e+06,-0.0103105,false
Block:x-RL TH8-LP Block$0$TREE-DCID-003,LinkComposite,x-RL TH8-LP Block$0$LP-TREE,(color 186 186 186),1.10529e+07,8.48995e+06,-5.39411e-05,false
Layer:x-RL TH8-LP Block$0$LK-TREE-035M,SplineShape,x-RL TH8-LP Block$0$LK-TREE-035M,(color 186 186 186),1.10528e+07,8.48994e+06,-5.30364e-05,false
Layer:x-RL TH8-LP Block$0$LK-TREE-050M,SplineShape,x-RL TH8-LP Block$0$LK-TREE-050M,(color 186 186 186),1.10529e+07,8.48995e+06,-5.39411e-05,false
Layer:x-RL TH8-LP Block$0$LK-TREE-013M,SplineShape,x-RL TH8-LP Block$0$LK-TREE-013M,(color 186 186 186),1.10528e+07,8.48995e+06,-5.40057e-05,false
Layer:x-RL TH8-LP Block$0$LK-TREE-TRNK,SplineShape,x-RL TH8-LP Block$0$LK-TREE-TRNK,(color 186 186 186),1.10529e+07,8.48995e+06,-5.39411e-05,false
Block:x-RL TH8-LP Block$0$SHRUB-LRG-421,LinkComposite,x-RL TH8-LP Block$0$LP-SHRB,(color 186 186 186),1.10528e+07,8.48872e+06,-0.0103105,false
Layer:x-RL TH8-LP Block$0$LK-SHRB-035M,SplineShape,x-RL TH8-LP Block$0$LK-SHRB-035M,(color 186 186 186),1.10528e+07,8.48872e+06,-0.0103105,false
Layer:x-RL TH8-LP Block$0$LK-SHRB-TRNK,SplineShape,x-RL TH8-LP Block$0$LK-SHRB-TRNK,(color 186 186 186),1.10528e+07,8.48872e+06,-0.0103105,false
Block:x-RL TH8-LP Block$0$TREE-DCID-003,LinkComposite,x-RL TH8-LP Block$0$LP-TREE,(color 186 186 186),1.10529e+07,8.48881e+06,-5.39411e-05,false
Layer:x-RL TH8-LP Block$0$LK-TREE-035M,SplineShape,x-RL TH8-LP Block$0$LK-TREE-035M,(color 186 186 186),1.10529e+07,8.48882e+06,-5.39411e-05,false
Layer:x-RL TH8-LP Block$0$LK-TREE-050M,SplineShape,x-RL TH8-LP Block$0$LK-TREE-050M,(color 186 186 186),1.10529e+07,8.48881e+06,-5.39411e-05,false
Layer:x-RL TH8-LP Block$0$LK-TREE-013M,SplineShape,x-RL TH8-LP Block$0$LK-TREE-013M,(color 186 186 186),1.10528e+07,8.48881e+06,-5.39411e-05,false
Layer:x-RL TH8-LP Block$0$LK-TREE-TRNK,SplineShape,x-RL TH8-LP Block$0$LK-TREE-TRNK,(color 186 186 186),1.10529e+07,8.48881e+06,-5.39411e-05,false
Block:x-RL TH8-LP Block$0$SHRUB-LRG-121,LinkComposite,x-RL TH8-LP Block$0$LP-SHRB,(color 186 186 186),1.10528e+07,8.48846e+06,-5.39411e-05,false
Layer:x-RL TH8-LP Block$0$LK-SHRB-TRNK,SplineShape,x-RL TH8-LP Block$0$LK-SHRB-TRNK,(color 186 186 186),1.10528e+07,8.48846e+06,-5.39411e-05,false
Layer:x-RL TH8-LP Block$0$LK-SHRB-035M,SplineShape,x-RL TH8-LP Block$0$LK-SHRB-035M,(color 186 186 186),1.10528e+07,8.48846e+06,-5.39411e-05,false
Layer:x-RL TH8-LP Block$0$LK-SHRB-013M,SplineShape,x-RL TH8-LP Block$0$LK-SHRB-013M,(color 186 186 186),1.10529e+07,8.48846e+06,-5.39411e-05,false
Block:x-RL TH8-LP Block$0$TREE-SIMP-021,LinkComposite,x-RL TH8-LP Block$0$LP-TREE,(color 186 186 186),1.10529e+07,8.48854e+06,-0.0102991,false
Layer:x-RL TH8-LP Block$0$LK-TREE-050M,SplineShape,x-RL TH8-LP Block$0$LK-TREE-050M,(color 186 186 186),1.10529e+07,8.48853e+06,-0.0102991,false
Layer:x-RL TH8-LP Block$0$LK-TREE-TRNK,SplineShape,x-RL TH8-LP Block$0$LK-TREE-TRNK,(color 186 186 186),1.10529e+07,8.48854e+06,-0.0102991,false
Block:x-RL TH8-LP Block$0$SHRUB-LRG-121,LinkComposite,x-RL TH8-LP Block$0$LP-SHRB,(color 186 186 186),1.10528e+07,8.4903e+06,-5.39411e-05,false
Layer:x-RL TH8-LP Block$0$LK-SHRB-TRNK,SplineShape,x-RL TH8-LP Block$0$LK-SHRB-TRNK,(color 186 186 186),1.10528e+07,8.4903e+06,-5.39411e-05,false
Layer:x-RL TH8-LP Block$0$LK-SHRB-035M,SplineShape,x-RL TH8-LP Block$0$LK-SHRB-035M,(color 186 186 186),1.10528e+07,8.4903e+06,-5.39411e-05,false
Layer:x-RL TH8-LP Block$0$LK-SHRB-013M,SplineShape,x-RL TH8-LP Block$0$LK-SHRB-013M,(color 186 186 186),1.10528e+07,8.4903e+06,-5.39411e-05,false
Block:x-RL TH8-LP Block$0$TREE-SIMP-024,LinkComposite,x-RL TH8-LP Block$0$LP-TREE,(color 186 186 186),1.10529e+07,8.49022e+06,-5.39411e-05,false
Layer:x-RL TH8-LP Block$0$LK-TREE-050M,SplineShape,x-RL TH8-LP Block$0$LK-TREE-050M,(color 186 186 186),1.10529e+07,8.49022e+06,-5.39411e-05,false
Layer:x-RL TH8-LP Block$0$LK-TREE-TRNK,SplineShape,x-RL TH8-LP Block$0$LK-TREE-TRNK,(color 186 186 186),1.10529e+07,8.49022e+06,-5.39411e-05,false
Block:x-RL TH8-LP Block$0$TREE-SIMP-021,LinkComposite,x-RL TH8-LP Block$0$LP-TREE,(color 186 186 186),1.10529e+07,8.48904e+06,-5.39411e-05,false
Layer:x-RL TH8-LP Block$0$LK-TREE-050M,SplineShape,x-RL TH8-LP Block$0$LK-TREE-050M,(color 186 186 186),1.10529e+07,8.48903e+06,-5.39411e-05,false
Layer:x-RL TH8-LP Block$0$LK-TREE-TRNK,SplineShape,x-RL TH8-LP Block$0$LK-TREE-TRNK,(color 186 186 186),1.10529e+07,8.48904e+06,-5.39411e-05,false
Block:x-RL TH8-LP Block$0$TREE-SIMP-021,LinkComposite,x-RL TH8-LP Block$0$LP-TREE,(color 186 186 186),1.10528e+07,8.48972e+06,-5.39411e-05,false
Layer:x-RL TH8-LP Block$0$LK-TREE-050M,SplineShape,x-RL TH8-LP Block$0$LK-TREE-050M,(color 186 186 186),1.10529e+07,8.48972e+06,-5.39411e-05,false
Layer:x-RL TH8-LP Block$0$LK-TREE-TRNK,SplineShape,x-RL TH8-LP Block$0$LK-TREE-TRNK,(color 186 186 186),1.10528e+07,8.48972e+06,-5.39411e-05,false
Block:x-RL TH8-LP Block$0$SHRUB-LRG-241,LinkComposite,x-RL TH8-LP Block$0$LP-SHRB,(color 186 186 186),1.10522e+07,8.48844e+06,-5.39411e-05,false
Layer:x-RL TH8-LP Block$0$LK-SHRB-035M,SplineShape,x-RL TH8-LP Block$0$LK-SHRB-035M,(color 186 186 186),1.10522e+07,8.48844e+06,-5.39411e-05,false
